	Survived	Sex	Age	Fare	SibSp0	SibSp1	SibSp2	SibSp3	SibSp4	SibSp5	SibSp8	Parch0	Parch1	Parch2	Parch3	Parch4	Parch5	Parch6	Pclass1	Pclass2	Pclass3	EmbarkedC	EmbarkedQ	EmbarkedS
0	0	1	0.275	0.014151057562208049	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
1	1	0	0.47500000000000003	0.13913573538264068	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
2	1	0	0.325	0.015468569817999833	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
3	1	0	0.4375	0.10364429745562033	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
4	0	1	0.4375	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
5	0	1	0.0	0.01650950209357577	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
6	0	1	0.675	0.10122885832000206	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
7	0	1	0.025	0.04113566043083236	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
8	1	0	0.3375	0.021730754366528396	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
9	1	0	0.17500000000000002	0.058694292654020104	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
10	1	0	0.05	0.03259622914329302	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
11	1	0	0.7250000000000001	0.051822148727810165	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
12	0	1	0.25	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
13	0	1	0.48750000000000004	0.06104473451835265	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
14	0	0	0.17500000000000002	0.015330377421392339	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
15	1	0	0.6875	0.03122992013728673	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
16	0	1	0.025	0.05684821399990475	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
17	1	1	0.0	0.025374310111545468	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
18	0	0	0.3875	0.03513366015444757	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
19	1	0	0.0	0.014102260811993537	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
20	0	1	0.4375	0.050748620223090936	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
21	1	1	0.42500000000000004	0.025374310111545468	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
